사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2025타경52242,수원지방법원,1,"경기도 수원시 장안구 화산로285번길 12 101동 1층110호 (율전동,화남아파트)[집합건물 철근콘크리트 벽식구조
59.93㎡]",지도,,"297,000,000",297000000,2026.04.29,0,moveDtlPage(4),아파트,"297,000,000(100%)",297000000,100.0,0,신건
2025타경52440,수원지방법원,1,"경기도 오산시 경기대로 114 103동 4층402호 (원동,미소지움아파트)[집합건물 철근콘크리트구조 59.9927㎡]",지도,,"314,000,000",314000000,2026.04.29,0,moveDtlPage(5),아파트,"314,000,000(100%)",314000000,100.0,0,신건
2025타경53511,수원지방법원,1,"경기도 용인시 기흥구 동백죽전대로527번길 80 110동 40층4001호 (중동,신동백롯데캐슬에코1단지)[집합건물 철근콘크리트구조 199.30㎡]",지도,,"1,450,000,000",1450000000,2026.04.28,0,moveDtlPage(6),아파트,"243,701,500(16%)",243701500,16.0,5,유찰 5회
2025타경54101,수원지방법원,1,"경기도 수원시 영통구 센트럴파크로 6 105동 21층2101호 (하동,힐스테이트광교)[집합건물 철근콘크리트구조 97.5548㎡]",지도,,"1,610,000,000",1610000000,2026.04.29,0,moveDtlPage(7),아파트,"1,127,000,000(70%)",1127000000,70.0,1,유찰 1회
2025타경54320,수원지방법원,1,"경기도 수원시 영통구 영통동 973-3 두산아파트 801동 16층1604호[집합건물 철근콘크리트조
59.73㎡]",지도,,"489,000,000",489000000,2026.04.21,0,moveDtlPage(8),아파트,"342,300,000(70%)",342300000,70.0,1,유찰 1회
2025타경54344,수원지방법원,1,"경기도 화성시 석우동 53 동탄예당마을우미린제일풍경채 122동 2층205호[집합건물 철근콘크리트구조
75.8700 ㎡]",지도,,"569,000,000",569000000,2026.04.29,0,moveDtlPage(9),아파트,"569,000,000(100%)",569000000,100.0,0,신건
2025타경54416,수원지방법원,1,"경기도 수원시 권선구 권선동 1035 수원시청역에스케이뷰 102동 1층102호[집합건물 철근콘크리트구조
59.94㎡]",지도,,"412,000,000",412000000,2026.04.24,0,moveDtlPage(0),아파트,"412,000,000(100%)",412000000,100.0,0,신건
2025타경54420,수원지방법원,1,경기도 오산시 금암동 499 세교서희스타힐스 1208동 3층302호[집합건물 철근콘크리트구조 84.94㎡],지도,,"358,000,000",358000000,2026.04.21,0,moveDtlPage(1),아파트,"250,600,000(70%)",250600000,70.0,1,유찰 1회
2025타경54672,수원지방법원,1,경기도 화성시 산척동 718 동탄 더 레이크 팰리스 2564동 17층1702호[집합건물 철근콘크리트구조 134.9668㎡],지도,,"1,260,000,000",1260000000,2026.04.20,0,moveDtlPage(2),아파트,"1,260,000,000(100%)",1260000000,100.0,0,신건
2025타경54737,수원지방법원,1,"경기도 용인시 수지구 상현동 866 광교상떼빌파크뷰 4811동 13층1304호[집합건물 철근콘크리트벽식조
164.2368㎡]",지도,,"970,000,000",970000000,2026.04.29,0,moveDtlPage(3),아파트,"970,000,000(100%)",970000000,100.0,0,신건
2025타경54774,수원지방법원,1,경기도 용인시 처인구 김량장동 526 김량장동어울림아파트 102동 12층1202호[집합건물 철근콘크리트구조 58.314㎡],지도,,"369,000,000",369000000,2026.04.21,0,moveDtlPage(4),아파트,"258,300,000(70%)",258300000,70.0,1,유찰 1회
2025타경55000,수원지방법원,1,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 11층1104호[집합건물 철근콘크리트구조 18.40㎡],지도,,"159,000,000",159000000,2026.04.21,0,moveDtlPage(5),"연립주택,다세대,빌라","159,000,000(100%)",159000000,100.0,0,신건
2025타경55096,수원지방법원,1,"경기도 용인시 기흥구 신갈동 17-15 원대마을신갈한신아파트 101동 5층502호[집합건물 철근콘크리트조
 84.99㎡]",지도,재매각임. 매수신청보증금 20%,"422,000,000",422000000,2026.04.22,0,moveDtlPage(6),아파트,"295,400,000(70%)",295400000,70.0,1,유찰 1회
2025타경55330,수원지방법원,1,"경기도 수원시 권선구 금곡동 252 일신건영아파트 101동 1층104호[집합건물 철근콘크리트벽식구조
84.93㎡]",지도,,"367,000,000",367000000,2026.04.21,0,moveDtlPage(7),아파트,"367,000,000(100%)",367000000,100.0,0,신건
2025타경55362,수원지방법원,1,경기도 용인시 기흥구 언남동 384-2 까사90 6층602호[집합건물 철큰콘크리트구조 37.47㎡],지도,"신청채권자 겸 대항력 있는 임차인의 보증금 220,000,000원이 배당에서 전액 변제되지 않을 경우 잔액을 매수인이 인수하므로 입찰시 주의요망","215,000,000",215000000,2026.04.27,0,moveDtlPage(8),"연립주택,다세대,빌라","73,745,000(34%)",73745000,34.0,3,유찰 3회
2025타경55412,수원지방법원,1,경기도 화성시 봉담읍 와우리 597 봉담센트럴푸르지오 111동 5층502호[집합건물 철근콘크리트구조  74.9123㎡],지도,,"424,000,000",424000000,2026.04.27,0,moveDtlPage(9),아파트,"296,800,000(70%)",296800000,70.0,1,유찰 1회
2025타경55437,수원지방법원,1,경기도 화성시 청계동 541 동탄역 롯데캐슬알바트로스 1311동 17층1701호[집합건물 철근콘크리트구조 101.8848㎡],지도,,"946,000,000",946000000,2026.04.21,0,moveDtlPage(0),아파트,"946,000,000(100%)",946000000,100.0,0,신건
2025타경55649,수원지방법원,1,"경기도 수원시 장안구 정자동 36-23 송학아파트 6층621호[집합건물 라멘조
31.74㎡]",지도,,"123,000,000",123000000,2026.04.28,0,moveDtlPage(1),아파트,"60,270,000(49%)",60270000,49.0,2,유찰 2회
2025타경55860,수원지방법원,1,경기도 화성시 봉담읍 와우리 591 봉담휴먼빌 104동 21층2104호[집합건물 철근콘크리트구조 84.9438㎡],지도,,"361,000,000",361000000,2026.04.28,0,moveDtlPage(2),아파트,"252,700,000(70%)",252700000,70.0,1,유찰 1회
